Price Ticker Date,Close AAPL,High AAPL,Low AAPL,Open AAPL,Volume AAPL
1/2/2018,40.42682266,40.43621206,39.72276791,39.93398648,102223600
1/3/2018,40.41979218,40.96426304,40.35642981,40.49019838,118071600
1/4/2018,40.6075325,40.71079444,40.38458254,40.4925356,89738400
1/5/2018,41.06985092,41.15668317,40.61221616,40.70374311,94640000
1/8/2018,40.91731644,41.21301814,40.81874562,40.91731644,82271200
1/9/2018,40.91261673,41.08393569,40.69670706,40.96424769,86336000
1/10/2018,40.90323639,40.90558553,40.60049439,40.63804484,95839600
1/11/2018,41.13555908,41.18484447,40.95015963,40.97362597,74670800
1/12/2018,41.56035995,41.6237259,41.22241303,41.34679578,101672400
1/16/2018,41.34914017,42.10013126,41.3374052,41.75044941,118263600
1/17/2018,42.03207397,42.06727528,41.08629396,41.33975054,137547200
1/18/2018,42.06960678,42.26674479,41.83257636,42.09542226,124773600
1/19/2018,41.88187408,42.14472006,41.63545419,41.91707539,129700400
1/22/2018,41.53923416,41.72228813,41.44536162,41.60964036,108434400
1/23/2018,41.5486145,42.11186043,41.49698712,41.60963487,130756400
1/24/2018,40.88680267,41.60963258,40.64742308,41.59789762,204420400
1/25/2018,40.15693283,41.05812197,40.02081516,40.95486005,166116000
1/26/2018,40.25081253,40.36580944,39.91052009,40.36580944,156572000
1/29/2018,39.41769409,39.93400037,39.20882459,39.93400037,202561600
1/30/2018,39.18534851,39.27922106,38.65261264,38.84740159,184192800
1/31/2018,39.29328918,39.53032321,39.07503396,39.16186622,129915600
2/1/2018,39.3754425,39.57257701,39.13606284,39.23228454,188923200
2/2/2018,37.66692734,39.14544296,37.57305481,38.95769432,346375200
2/5/2018,36.72584915,38.46017079,36.61085224,37.33837701,290954000
2/6/2018,38.26066971,38.42260282,36.14146586,36.33625471,272975200
2/7/2018,37.44163132,38.34751527,37.3313327,38.27476352,206434400
2/8/2018,36.41137314,37.7842817,36.38321209,37.61765379,217562000
2/9/2018,36.8567276,37.20547639,35.40281841,37.01225202,282690400
2/12/2018,38.34127045,38.61932598,37.11593048,37.3492171,243278000
2/13/2018,38.7253685,38.82198249,38.09149155,38.1621848,130196800
2/14/2018,39.43936539,39.47942406,38.38133605,38.419036,162579600
2/15/2018,40.76367188,40.7872339,39.8234599,40.00961532,204588800
2/16/2018,40.63171387,41.19490122,40.47619301,40.61522081,160704400
2/20/2018,40.49504471,41.06293871,40.39371686,40.54217235,135722000
2/21/2018,40.31123734,41.02994182,40.29709581,40.72596554,149886400
2/22/2018,40.6482048,40.98988465,40.46204939,40.48325629,123967600
2/23/2018,41.3551178,41.39046261,40.89325849,40.92389306,135249600
2/26/2018,42.17279816,42.27176725,41.52242832,41.55541801,152648800
2/27/2018,42.03614044,42.52863094,41.98194383,42.2034477,155712400
2/28/2018,41.97250748,42.56161185,41.95601442,42.24113893,151128400
3/1/2018,41.23730469,42.36367192,40.68590388,42.07147487,195208000
3/2/2018,41.52243042,41.54363731,40.63641522,40.71889127,153816000
3/5/2018,41.66617584,41.88296582,41.1241991,41.28679248,113605600
3/6/2018,41.63082123,42.00313557,41.50357628,41.92301825,95154000
